time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-12 00:00:00+00:00,2,1,8,3
2021-12-13 00:00:00+00:00,1,1,3,1
2021-12-14 00:00:00+00:00,1,1,0,0
2021-12-15 00:00:00+00:00,1,1,89,3
2021-12-16 00:00:00+00:00,0,0,9,3
2021-12-19 00:00:00+00:00,0,0,4,2
2021-12-20 00:00:00+00:00,0,0,1,1
2021-12-24 00:00:00+00:00,0,0,1,1
2021-12-26 00:00:00+00:00,0,0,21,3
2021-12-27 00:00:00+00:00,1,1,3,1
2021-12-29 00:00:00+00:00,0,0,1,1
2021-12-30 00:00:00+00:00,0,0,2,1
2021-12-31 00:00:00+00:00,3,3,32,5
2022-01-01 00:00:00+00:00,0,0,4,3
2022-01-02 00:00:00+00:00,0,0,1,1
2022-01-03 00:00:00+00:00,0,0,7,1
2022-01-04 00:00:00+00:00,0,0,4,2
2022-01-05 00:00:00+00:00,3,2,7,1
2022-01-07 00:00:00+00:00,1,1,0,0
2022-01-08 00:00:00+00:00,0,0,2,1
2022-01-11 00:00:00+00:00,0,0,3,2
2022-01-13 00:00:00+00:00,0,0,5,1
2022-01-16 00:00:00+00:00,1,1,0,0
2022-01-25 00:00:00+00:00,1,1,0,0
2022-01-29 00:00:00+00:00,0,0,3,1
2022-02-06 00:00:00+00:00,0,0,1,1
2022-02-07 00:00:00+00:00,0,0,1,1
2022-02-12 00:00:00+00:00,1,1,0,0
2022-02-18 00:00:00+00:00,0,0,1,1
2022-03-03 00:00:00+00:00,1,1,0,0
2022-03-06 00:00:00+00:00,0,0,1,1
2022-03-08 00:00:00+00:00,2,1,0,0
2022-03-09 00:00:00+00:00,0,0,1,1
2022-03-10 00:00:00+00:00,0,0,3,1
2022-03-15 00:00:00+00:00,0,0,1,1
2022-03-17 00:00:00+00:00,0,0,2,1
2022-03-18 00:00:00+00:00,1,1,0,0
2022-03-19 00:00:00+00:00,1,1,0,0
2022-03-21 00:00:00+00:00,0,0,1,1
2022-03-27 00:00:00+00:00,1,1,0,0
2022-03-29 00:00:00+00:00,0,0,9,3
2022-03-30 00:00:00+00:00,0,0,1,1
2022-04-03 00:00:00+00:00,1,1,5,1
